"Ghostwriter-Andreas Gross"
"Ghostwriter-Brian Livingston Cl. XII"
"Ghostwriter-CBR"
"Ghostwriter-Dan Koon"
"Ghostwriter-David Mayo  Cl. XII"
"Ghostwriter-Jeff Walker  Cl. XII"
"Ghostwriter-Jesse Prince"
"Ghostwriter-Jill Steinberg Cl. XII"
"Ghostwriter-Jim Dincalci Rons Medical Researcher"
"Ghostwriter-Joan Robertson, CS-4"
"Ghostwriter-John Eastment Cl. XII"
"Ghostwriter-Julie Gillespie"
"Ghostwriter-Julie Mayo"
"Ghostwriter-Ken Urquhart"
"Ghostwriter-Kima Jason, Snr MO Flag"
"Ghostwriter-Merril Mayo"
"Ghostwriter-Mike Goldstein"
"Ghostwriter-Mike Rinder"
"Ghostwriter-Molly Harlow"
"Ghostwriter-Otto J. Roos - OJP"
"Ghostwriter-Pat Brice LRH Comps Unit IC"
"Ghostwriter-Paulette Ausley, LRH Tech Expeditor"
"Ghostwriter-Paulette Cohen"
"Ghostwriter-RVY"
"Ghostwriter-Rick Sheehy"
"Ghostwriter-Ron Shaffran, CS-4 Class XII"
"Ghostwriter-Tony Dunleavy, CS 2"
"LRH-Books"
"LRH-Fiction-1940er"
"LRH-Fiction-BE"
"LRH-Fiction-ME"
"LRH-Policy"
"LRH-Tech-1950-1959"
"LRH-Tech-1950-1959-lecture"
"LRH-Tech-1950-1959-written"
"LRH-Tech-1960-1969"
"LRH-Tech-1960-1969-lecture"
"LRH-Tech-1960-1969-written"
"LRH-Tech-1970-1972"
"LRH-Tech-1970-1972-lecture"
"LRH-Tech-1970-1972-written"
"LRH-Tech-1973-1980"
"LRH-Tech-1973-1980-lecture"
"LRH-Tech-1973-1980-written"
"LRH-Tech-1980-1986"
"LRH-Tech-1980-1986-lecture"
"LRH-Tech-1980-1986-written"
"LRH-Tech-1981-1986"
"LRH-Tech-post-1986"
"LRH-Tech-post-1986-lecture"
"LRH-Tech-post-1986-written"
"LRH-Tech-Conf"
"unknown"
