"Filename","r-base","ms-deberta","distilb","r-large","albert","Mittelwert"
"1950_53_Seite_183.txt",99.6,0.2,28.4,100,91.5,63.9
"1950_53_Seite_184.txt",99.9,100,99.1,100,100,99.8
"1950_53_Seite_185.txt",100,100,99.8,100,100,99.9
"1950_53_Seite_186.txt",100,99.9,83.5,100,100,96.7
"1950_53_Seite_187.txt",98.8,100,99.5,100,100,99.7
"1950_53_Seite_188.txt",100,100,96.1,100,100,99.2
"1950_53_Seite_189.txt",97.8,0.5,61.4,100,100,71.9
"1950_53_Seite_19.txt",0.3,0.3,2.2,100,98.4,40.2
"1950_53_Seite_190.txt",100,100,99.8,100,99.9,99.9
"1950_53_Seite_191.txt",0.1,99.3,1.6,7.3,0.7,21.8
"1950_53_Seite_192.txt",40.4,0.2,97.7,100,6.1,48.9
"1950_53_Seite_193.txt",99.9,99.8,93.7,100,99,98.5
"1950_53_Seite_194.txt",94.8,99.9,99,100,100,98.7
"1950_53_Seite_195.txt",13.4,99.7,93.4,100,100,81.3
"1950_53_Seite_196.txt",0.4,100,97.6,100,100,79.6
"1950_53_Seite_197.txt",1.2,0.2,94.7,72.4,25.1,38.7
"1950_53_Seite_198.txt",67.8,0.2,96,100,22.1,57.2
"1950_53_Seite_199.txt",99.9,98.3,98.1,100,100,99.3
"1950_53_Seite_2.txt",99.9,99.8,98.6,1.5,99.4,79.9
"1950_53_Seite_20.txt",96.1,17.7,5.7,99.6,85.1,60.8
"1950_53_Seite_200.txt",1.9,99.5,99,100,100,80.1
"1950_53_Seite_201.txt",100,99.9,99.4,100,100,99.8
"1950_53_Seite_202.txt",10.6,99.2,86.8,100,100,79.3
"1950_53_Seite_203.txt",10.4,99.5,89.7,100,100,79.9
"1950_53_Seite_204.txt",97.7,100,99.7,100,100,99.5
"1950_53_Seite_205.txt",100,99.8,97.8,100,100,99.5
"1950_53_Seite_206.txt",100,100,99.8,100,100,99.9
"1950_53_Seite_207.txt",99.9,75.9,72.5,100,98.9,89.4
"1950_53_Seite_208.txt",97.7,100,7.7,100,3.3,61.7
"1950_53_Seite_209.txt",99.9,93.3,95.6,100,99.8,97.7
