"Filename","r-base","ms-deberta","distilb","r-large","albert","Mittelwert"
"1950_53_Seite_7.txt",1.1,0.9,1.7,99.4,11.5,22.9
"1950_53_Seite_158.txt",0.1,0.2,93,7.1,14.5,23
"1950_53_Seite_3.txt",16.3,0.2,71.1,0.7,31.3,23.9
"1950_53_Seite_332.txt",0.1,0.2,20.4,96.6,3.3,24.1
"1950_53_Seite_485.txt",0.4,2.6,17.1,99.7,0.8,24.1
"1950_53_Seite_18.txt",1.3,0.5,4.2,99.2,15.9,24.2
"1950_53_Seite_47.txt",0.1,0.3,23.3,99.8,0.7,24.8
"1950_53_Seite_246.txt",0.1,0.2,9.2,98.9,20,25.7
"1950_53_Seite_40.txt",12.8,0.2,14,100,2,25.8
"1950_53_Seite_5.txt",19.8,0.2,9.5,99.9,2.2,26.3
"1950_53_Seite_14.txt",2.6,0.2,8.9,99.9,24.7,27.3
"1950_53_Seite_69.txt",0.7,0.2,19.7,100,22.3,28.6
"1950_53_Seite_324.txt",0.2,0.2,41.4,100,2.5,28.9
"1950_53_Seite_173.txt",7.2,0.2,38.2,100,2.1,29.5
"1950_53_Seite_472.txt",0.2,99.5,1.4,45.5,0.7,29.5
"1950_53_Seite_15.txt",3,0.3,5.1,100,42.8,30.2
"1950_53_Seite_454.txt",0.1,0.3,41.8,99.8,9.6,30.3
"1950_53_Seite_291.txt",0.1,0.3,84.4,66.3,7.8,31.8
"1950_53_Seite_546.txt",0.6,0.3,2.4,99.1,57.1,31.9
"1950_53_Seite_313.txt",0.1,0.2,78.6,81.3,1,32.2
"1950_53_Seite_10.txt",4.2,0.3,3.5,100,54.1,32.4
"1950_53_Seite_11.txt",0.3,0.3,12.6,99.7,50.7,32.7
"1950_53_Seite_221.txt",0.4,0.3,58.1,99.7,9.2,33.5
"1950_53_Seite_481.txt",0.1,0.3,78.1,0,99.9,35.7
"1950_53_Seite_355.txt",0.1,1.5,1.6,100,76.4,35.9
"1950_53_Seite_323.txt",2.8,0.2,77.6,100,0.9,36.3
"1950_53_Seite_498.txt",1.5,0.2,76.1,100,4.6,36.5
"1950_53_Seite_333.txt",0.1,0.7,86,97.9,1.2,37.2
"1950_53_Seite_363.txt",55.2,1.7,7.1,100,22.2,37.2
"1950_53_Seite_48.txt",12.1,0.2,75.3,100,0.7,37.7
"1950_53_Seite_197.txt",1.2,0.2,94.7,72.4,25.1,38.7
"1950_53_Seite_300.txt",0.9,0.2,87,99.9,7.6,39.1
"1950_53_Seite_312.txt",0.2,0.2,94.5,100,1.8,39.4
"1950_53_Seite_149.txt",3.8,0.2,92.8,100,0.6,39.5
"1950_53_Seite_19.txt",0.3,0.3,2.2,100,98.4,40.2
"1950_53_Seite_22.txt",0.9,0.4,2.8,99,99.3,40.5
"1950_53_Seite_259.txt",0.1,100,3.2,100,0.9,40.8
"1950_53_Seite_157.txt",2.5,1.3,76.4,100,25,41
"1950_53_Seite_292.txt",12,0.2,89.7,100,3.3,41
"1950_53_Seite_65.txt",0.4,0.4,4.8,100,100,41.1
"1950_53_Seite_233.txt",4,0.2,92.9,99.9,9.8,41.4
"1950_53_Seite_138.txt",2.4,99.2,4.5,99.6,2,41.6
"1950_53_Seite_17.txt",3,0.4,5,99.9,99.7,41.6
"1950_53_Seite_67.txt",0.3,100,7.2,100,2.4,42
"1950_53_Seite_91.txt",0.5,0.3,9.1,100,100,42
"1950_53_Seite_366.txt",0.2,99.8,1.2,100,9.5,42.1
"1950_53_Seite_301.txt",17.9,0.4,3.9,100,88.6,42.2
"1950_53_Seite_16.txt",2.8,0.4,11.8,100,98.5,42.7
"1950_53_Seite_222.txt",4.9,2.6,17.7,100,88.8,42.8
"1950_53_Seite_399.txt",0.3,98.9,9.8,100,5.2,42.8
"1950_53_Seite_79.txt",0.2,100,12.4,100,2.2,42.9
"1950_53_Seite_52.txt",0.2,99.9,20.9,100,0.7,44.3
"1950_53_Seite_244.txt",0.1,0.2,94.9,99.8,27,44.4
"1950_53_Seite_339.txt",0.8,100,4,100,17.6,44.4
"1950_53_Seite_426.txt",6.3,100,11.3,100,16,46.7
"1950_53_Seite_121.txt",0.4,98.8,27.4,99.9,17.3,48.8
"1950_53_Seite_192.txt",40.4,0.2,97.7,100,6.1,48.9
"1950_53_Seite_172.txt",11.7,0.3,96.1,100,38.7,49.3
"1950_53_Seite_120.txt",42.3,0.3,4.4,100,100,49.4
"1950_53_Seite_522.txt",83,0.3,62,100,2.3,49.5
"1950_53_Seite_242.txt",1.7,0.3,93.8,100,56.6,50.5
"1950_53_Seite_551.txt",98.5,0.5,2,100,57.5,51.7
"1950_53_Seite_552.txt",64.8,0.3,1.6,100,97.7,52.9
"1950_53_Seite_77.txt",4.2,1.3,61.8,100,100,53.5
"1950_53_Seite_364.txt",1,99.5,69.6,100,0.9,54.2
"1950_53_Seite_456.txt",0.1,100,73.2,100,2.2,55.1
"1950_53_Seite_314.txt",55,0.2,95.9,100,26.5,55.5
"1950_53_Seite_198.txt",67.8,0.2,96,100,22.1,57.2
"1950_53_Seite_76.txt",97.9,0.2,84.1,100,4.1,57.3
"1950_53_Seite_417.txt",1,90,99.5,1.3,100,58.3
"1950_53_Seite_43.txt",0.1,99.9,2.8,93.6,100,59.3
"1950_53_Seite_68.txt",0.7,100,35,100,64.4,60
"1950_53_Seite_1.txt",99.3,0.2,85.7,98.2,16.8,60.1
"1950_53_Seite_478.txt",97.1,5.2,87.3,100,13.2,60.5
"1950_53_Seite_379.txt",4,2.4,97.4,100,99.7,60.7
"1950_53_Seite_419.txt",0.4,100,3.3,100,100,60.7
"1950_53_Seite_20.txt",96.1,17.7,5.7,99.6,85.1,60.8
"1950_53_Seite_378.txt",0.3,100,3.7,100,100,60.8
"1950_53_Seite_389.txt",0.6,99.6,95.7,100,8.2,60.8
"1950_53_Seite_298.txt",99.7,1,3.9,100,100,60.9
"1950_53_Seite_44.txt",0.1,99.7,4.5,100,100,60.9
"1950_53_Seite_294.txt",99.9,13.8,5.5,100,86.1,61.1
"1950_53_Seite_295.txt",99.7,1.3,4.7,100,99.8,61.1
"1950_53_Seite_484.txt",11,0.2,96.2,100,98.1,61.1
"1950_53_Seite_319.txt",99.9,2,5.3,100,100,61.4
"1950_53_Seite_521.txt",0.1,100,6.7,100,100,61.4
"1950_53_Seite_303.txt",89.3,0.2,92.5,100,25.6,61.5
"1950_53_Seite_42.txt",0.2,100,7.5,100,100,61.5
"1950_53_Seite_462.txt",0.9,100,7.1,100,100,61.6
"1950_53_Seite_208.txt",97.7,100,7.7,100,3.3,61.7
"1950_53_Seite_514.txt",97.2,3,9.3,100,100,61.9
"1950_53_Seite_78.txt",6.3,100,4.3,100,100,62.1
"1950_53_Seite_220.txt",99.2,0.2,94.6,100,18,62.4
"1950_53_Seite_321.txt",99.9,4,8.8,100,99.9,62.5
"1950_53_Seite_66.txt",5.1,100,9,100,100,62.8
"1950_53_Seite_326.txt",99.9,5.3,9.5,100,100,62.9
"1950_53_Seite_243.txt",0.1,99.7,16,100,99.5,63.1
"1950_53_Seite_519.txt",98.4,0.5,98.5,18.4,99.9,63.1
"1950_53_Seite_255.txt",6.4,99.9,11,100,100,63.5
"1950_53_Seite_345.txt",100,3.9,13.5,100,100,63.5
"1950_53_Seite_183.txt",99.6,0.2,28.4,100,91.5,63.9
"1950_53_Seite_334.txt",99.7,0.4,92,100,28.1,64
"1950_53_Seite_51.txt",0.7,99.9,20.2,100,100,64.1
"1950_53_Seite_116.txt",99.9,99.6,21.2,100,0.6,64.3
"1950_53_Seite_306.txt",99.6,18,4,100,99.9,64.3
"1950_53_Seite_429.txt",99.8,2.6,18.9,100,100,64.3
"1950_53_Seite_117.txt",99.2,0.2,22.6,100,99.9,64.4
"1950_53_Seite_215.txt",99.8,0.3,22.1,100,100,64.4
"1950_53_Seite_390.txt",0.2,99.8,28.4,99.8,100,65.6
"1950_53_Seite_108.txt",1.8,99.8,27,99.9,100,65.7
"1950_53_Seite_490.txt",100,1.9,27.1,100,100,65.8
"1950_53_Seite_354.txt",0.4,100,30.1,100,100,66.1
"1950_53_Seite_449.txt",22.6,99.9,99.3,100,9.8,66.3
"1950_53_Seite_444.txt",98,0.5,34.2,100,99.9,66.5
"1950_53_Seite_384.txt",0.2,99.5,33.5,100,100,66.6
"1950_53_Seite_457.txt",49.3,2.9,93.2,100,90.1,67.1
"1950_53_Seite_335.txt",99.9,2.6,34.1,100,99.9,67.3
"1950_53_Seite_517.txt",32.5,6.5,98.8,100,99.2,67.4
"1950_53_Seite_133.txt",99.7,9.8,30.5,100,100,68
"1950_53_Seite_162.txt",0.5,98.5,41.1,100,100,68
